Profile ID,GW,OR,#,OP,GWR,GWP,PB,TM,TC,£m
146868,GW38,"212,995",up,2293,"1,388,624",62,0,1,0,102.6
146868,GW37,"246,475",down,2231,"4,262,250",61,10,1,0,102.8
146868,GW36,"235,090",down,2170,"3,064,450",81,15,3,0,102.6
146868,GW35,"225,291",up,2089,"3,431,879",58,12,0,0,102.3
146868,GW34,"230,363",up,2031,"506,629",65,12,0,0,101.9
146868,GW33,"287,616",up,1966,"201,678",123,9,0,0,101.7
146868,GW32,"493,776",up,1843,"821,763",67,9,0,0,101.6
146868,GW31,"619,430",up,1776,"1,414,684",61,0,3,0,102.4
146868,GW30,"696,101",up,1715,"1,219,872",58,4,0,0,102.6
146868,GW29,"791,917",down,1657,"4,695,206",60,4,0,0,102.6
146868,GW28,"751,975",up,1597,"1,481,953",75,1,2,0,102.7
146868,GW27,"891,634",down,1522,"7,236,102",43,14,0,0,102.7
146868,GW26,"830,697",up,1479,"4,351,739",65,0,2,0,102.7
146868,GW25,"831,245",up,1414,"2,624,635",69,14,0,0,102.9
146868,GW24,"865,697",up,1345,"2,452,933",66,6,1,0,102.7
146868,GW23,"986,451",down,1279,"10,973,083",33,7,2,0,102.9
146868,GW22,"787,259",up,1246,"6,525,606",40,17,2,0,102.9
146868,GW21,"797,742",down,1206,"6,072,573",49,17,0,0,102.8
146868,GW20,"674,393",up,1157,"1,098,937",60,7,0,0,102.8
146868,GW19,"900,356",up,1097,"470,209",61,0,4,8,102.4
146868,GW18,"1,191,462",up,1044,"4,154,504",49,1,1,0,102.6
146868,GW17,"1,259,880",down,995,"5,940,706",70,19,1,0,102.6
146868,GW16,"1,008,632",up,925,"350,588",90,2,4,0,102
146868,GW15,"1,596,362",up,835,"1,075,775",67,5,0,0,101.9
146868,GW14,"2,189,122",up,768,"3,908,173",68,7,1,0,101.6
146868,GW13,"2,233,085",up,700,"3,312,886",42,9,2,0,101.6
146868,GW12,"2,459,940",up,658,"3,139,845",46,5,0,0,101.5
146868,GW11,"2,761,473",up,612,"732,035",55,10,2,4,101.5
146868,GW10,"3,357,729",up,561,"4,472,385",71,8,2,0,101.2
146868,GW9,"3,428,034",down,490,"10,649,989",33,28,0,0,101.2
146868,GW8,"2,571,672",down,457,"5,764,726",58,29,1,0,101.2
146868,GW7,"2,268,012",up,399,"3,824,835",69,7,1,0,100.9
